Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2012-03-27 10:02,1332813720,flir,23.681795,1.34,125.478203,13.1,3980000000,3790000000,18.83,13.76,1.03,2.58,2.54,2.46,8.82,14.34,22.81,10.99,14.36,1540000000,9.75,N/A,828600000,429690000,222650000,1.37,N/A,440850000,2.86,247860000,15.7,5.33,10.19,243890000,227190000,0.79,25.83,25.97,932053,154040000,152740000,0.83,103.1,6860000,5.6,N/A,6950000
2007-06-11 10:06,1181527601,flir,18.420971,87.71,121.008247,-8.4,2660000000,2740000000,26.66,21.24,1.34,4.3,6.17,4.43,14.619,18.5,24.89,13.6,28.12,619020000,9.23,37.5,314910000,187700000,114500000,1.51,107.5,153460000,2.315,235750000,0.546,3.455,6.508,115200000,42890000,1.77,41.11,36.08,614474,66290000,59390000,6.02,115.9,6280000,8.7,9.6,5220000
2005-04-20 1:56,1113933417,flir,11.700111,1.05,87.81147,17.27,1800000000,1840000000,26.85,19.19,1.13,3.64,5.56,3.81,14.85,14.81,22.61,13.46,30.3,482650000,6.215,N/A,249160000,123930000,71500000,0.97,N/A,120690000,1.73,205440000,0.656,4.136,4.531,N/A,N/A,0.309,30.79,51.7,674363,69630000,64800000,6.94,95,5270000,8.707,8.13,4810000
2009-02-09 11:08,1234148889,flir,21.463085,26.19,72.367859,25.95,3230000000,3130000000,18.49,13.53,0.71,3.18,3.85,2.91,9.64,18.92,26.42,15.68,27.85,1080000000,7.777,24.6,433230000,324870000,203730000,1.25,40.2,289440000,2.072,190340000,N/A,4.716,6.014,N/A,N/A,1.08,28.03,32.14,2418470,139680000,132490000,5.85,102.5,9660000,2.9,7,9270000
2011-11-15 11:45,1321328728,flir,24.118622,-27.18,110.873383,10.12,4070000000,3940000000,19.68,15.43,1.27,2.59,2.63,2.51,8.92,13.68,22.81,11.7,14.47,1570000000,9.89,11.7,762610000,441890000,216130000,1.33,2.8,374500000,2.4,247750000,16.01,5.41,9.93,173000000,96970000,0.97,26.47,29.18,1462730,155990000,154570000,0.77,103.5,9190000,6.8,6.6,9130000
2004-11-16 13:42,1100583736,flir,13.591773,-23.65,90.177818,6.55,2090000000,2200000000,35.07,26.75,1.74,4.78,7.91,5.03,19.93,14.3,22.36,12.67,30.88,436340000,11.963,N/A,165520000,110180000,62400000,1.739,N/A,94900000,2.78,205270000,0.779,3.817,7.715,N/A,N/A,-0.119,58.35,50.83,545181,34190000,29000000,15.18,95,2400000,4.454,8.29,2600000
2006-04-22 6:20,1145658012,flir,11.827436,52.83,102.989037,15.42,1800000000,1900000000,22.42,18.06,1.32,3.53,4.88,3.73,12.972,17.85,25.67,12.32,26.61,508560000,7.309,8.7,276690000,146140000,90760000,1.16,41.9,107060000,1.55,206210000,0.559,4.503,5.331,73140000,7340000,1.65,27.5,24.78,710741,69070000,63940000,7.43,102.7,4780000,7.8,7.2,3430000
2004-09-13 21:06,1095080815,flir,14.19656,-2.72,86.158554,11.2,2110000000,2210000000,38.64,26.24,1.76,5.24,9,5.59,22.09,14.26,22.61,12.21,31.7,395800000,11.357,N/A,165520000,100150000,56440000,1.616,N/A,67000000,1.98,205080000,0.891,3.728,6.825,N/A,N/A,-0.021,59.3,45.74,599863,33760000,28700000,14.99,95,2400000,2.957,8.34,2180000
2012-03-26 17:55,1332755706,flir,23.782961,1.03,125.869324,12.75,3960000000,3850000000,18.74,13.69,1.06,2.54,2.5,2.49,8.96,14.34,22.81,10.99,14.36,1540000000,9.75,N/A,828600000,429690000,222650000,1.37,N/A,440850000,2.86,247860000,15.7,5.33,10.19,243890000,227190000,0.79,25.85,25.96,939312,154040000,152650000,0.83,103.1,6860000,5.6,N/A,6950000
2008-12-19 3:58,1229630310,flr,40.204182,-2.42,73.273483,27.86,8720000000,7190000000,11.17,12.26,0.8,0.44,3.37,0.34,6.534,3.77,4.47,9.64,33.35,20970000000,118.908,37.9,802450000,1100000000,789820000,4.3,95.5,2220000000,12.257,157850000,0.058,1.489,15.111,1110000000,885570000,1.47,41.4,63.95,5704140,181510000,179080000,0.58,88.4,5700000,1,3.2,4450000
2011-05-19 9:03,1305767015,flr,61.707325,-26.19,117.245277,-1.64,11920000000,9660000000,34.25,17.36,1.95,0.57,3.49,0.46,12.9,1.72,2.65,4.69,13.02,20990000000,118.27,2.8,705250000,748810000,360570000,2,2.3,2350000000,13.46,82950000,2.41,1.54,19.58,1170000000,752520000,1.25,69.84,66.66,2316110,174280000,173410000,0.29,87.3,2960000,1.5,1.9,3290000
